time,country,subject,measure,value
1994-Q1,CZE,B1_GE,VOBARSA,2639039.8
1994-Q2,CZE,B1_GE,GPSA,0.967110121
1994-Q2,CZE,B1_GE,VOBARSA,2664562.2
1994-Q3,CZE,B1_GE,GPSA,1.359144477
1994-Q3,CZE,B1_GE,VOBARSA,2700777.5
1994-Q4,CZE,B1_GE,GPSA,2.186255117
1994-Q4,CZE,B1_GE,VOBARSA,2759823.4
1995-Q1,CZE,B1_GE,CARSA,1518200.0
1995-Q1,CZE,B1_GE,CPCARSA,139180.0
1995-Q1,CZE,B1_GE,CQR,351523.0
1995-Q1,CZE,B1_GE,CQRSA,379550.0
1995-Q1,CZE,B1_GE,GPSA,1.708041588
1995-Q1,CZE,B1_GE,GYSA,6.363014593
1995-Q1,CZE,B1_GE,HCPCARSA,13470.8
1995-Q1,CZE,B1_GE,HVPVOBARSA,20998.4
1995-Q1,CZE,B1_GE,VOBARSA,2806962.3
1995-Q1,CZE,B1_GE,VPVOBARSA,216955.2
1995-Q2,CZE,B1_GE,CARSA,1568724.0
1995-Q2,CZE,B1_GE,CPCARSA,140889.7
1995-Q2,CZE,B1_GE,CQR,395804.0
1995-Q2,CZE,B1_GE,CQRSA,392181.0
1995-Q2,CZE,B1_GE,GPSA,0.395624855
1995-Q2,CZE,B1_GE,GYSA,5.760987897
1995-Q2,CZE,B1_GE,HCPCARSA,13637.6
1995-Q2,CZE,B1_GE,HVPVOBARSA,21083.5
1995-Q2,CZE,B1_GE,VOBARSA,2818067.3
1995-Q2,CZE,B1_GE,VPVOBARSA,217813.6
1995-Q3,CZE,B1_GE,CARSA,1627548.0
1995-Q3,CZE,B1_GE,CPCARSA,145344.1
1995-Q3,CZE,B1_GE,CQR,415364.0
1995-Q3,CZE,B1_GE,CQRSA,406887.0
1995-Q3,CZE,B1_GE,GPSA,2.919067488
1995-Q3,CZE,B1_GE,GYSA,7.38865553
1995-Q3,CZE,B1_GE,HCPCARSA,14068.7
1995-Q3,CZE,B1_GE,HVPVOBARSA,21698.9
1995-Q3,CZE,B1_GE,VOBARSA,2900328.6
1995-Q3,CZE,B1_GE,VPVOBARSA,224171.7
1995-Q4,CZE,B1_GE,CARSA,1665052.0
1995-Q4,CZE,B1_GE,CPCARSA,145052.4
1995-Q4,CZE,B1_GE,CQR,433615.0
1995-Q4,CZE,B1_GE,CQRSA,416263.0
1995-Q4,CZE,B1_GE,GPSA,-0.770604418
1995-Q4,CZE,B1_GE,GYSA,4.281259436
1995-Q4,CZE,B1_GE,HCPCARSA,14043.2
1995-Q4,CZE,B1_GE,HVPVOBARSA,21535.9
1995-Q4,CZE,B1_GE,VOBARSA,2877978.6
1995-Q4,CZE,B1_GE,VPVOBARSA,222444.2
1996-Q1,CZE,B1_GE,CARSA,1772128.0
1996-Q1,CZE,B1_GE,CPCARSA,149426.1
1996-Q1,CZE,B1_GE,CQR,409767.0
1996-Q1,CZE,B1_GE,CQRSA,443032.0
1996-Q1,CZE,B1_GE,DNBSA,60.1
1996-Q1,CZE,B1_GE,DOBSA,60.1
1996-Q1,CZE,B1_GE,GPSA,2.381026668
1996-Q1,CZE,B1_GE,GYSA,4.971271068
1996-Q1,CZE,B1_GE,HCPCARSA,14482.1
1996-Q1,CZE,B1_GE,HVPVOBARSA,22072.2
1996-Q1,CZE,B1_GE,LNBQR,691143.0
1996-Q1,CZE,B1_GE,LNBQRSA,736626.0
1996-Q1,CZE,B1_GE,VIXOBSA,63.7
1996-Q1,CZE,B1_GE,VOBARSA,2946504.0
1996-Q1,CZE,B1_GE,VPVOBARSA,227740.7
1996-Q2,CZE,B1_GE,CARSA,1809860.0
1996-Q2,CZE,B1_GE,CPCARSA,150650.6
1996-Q2,CZE,B1_GE,CQR,456980.0
1996-Q2,CZE,B1_GE,CQRSA,452465.0
1996-Q2,CZE,B1_GE,DNBSA,61.0
1996-Q2,CZE,B1_GE,DOBSA,61.0
1996-Q2,CZE,B1_GE,GPSA,0.707957634
1996-Q2,CZE,B1_GE,GYSA,5.297838773
1996-Q2,CZE,B1_GE,HCPCARSA,14605.0
1996-Q2,CZE,B1_GE,HVPVOBARSA,22234.9
1996-Q2,CZE,B1_GE,LNBQR,748659.0
1996-Q2,CZE,B1_GE,LNBQRSA,741841.0
1996-Q2,CZE,B1_GE,VIXOBSA,64.2
1996-Q2,CZE,B1_GE,VOBARSA,2967364.0
1996-Q2,CZE,B1_GE,VPVOBARSA,229353.0
1996-Q3,CZE,B1_GE,CARSA,1842232.0
1996-Q3,CZE,B1_GE,CPCARSA,151476.0
1996-Q3,CZE,B1_GE,CQR,472514.0
1996-Q3,CZE,B1_GE,CQRSA,460558.0
1996-Q3,CZE,B1_GE,DNBSA,61.8
1996-Q3,CZE,B1_GE,DOBSA,61.8
1996-Q3,CZE,B1_GE,GPSA,0.444569658
1996-Q3,CZE,B1_GE,GYSA,2.766147806
1996-Q3,CZE,B1_GE,HCPCARSA,14685.0
1996-Q3,CZE,B1_GE,HVPVOBARSA,22333.7
1996-Q3,CZE,B1_GE,LNBQR,763510.0
1996-Q3,CZE,B1_GE,LNBQRSA,745139.0
1996-Q3,CZE,B1_GE,VIXOBSA,64.4
1996-Q3,CZE,B1_GE,VOBARSA,2980556.0
1996-Q3,CZE,B1_GE,VPVOBARSA,230372.6
1996-Q4,CZE,B1_GE,CARSA,1886068.0
1996-Q4,CZE,B1_GE,CPCARSA,152444.7
1996-Q4,CZE,B1_GE,CQR,489994.0
1996-Q4,CZE,B1_GE,CQRSA,471517.0
1996-Q4,CZE,B1_GE,DNBSA,63.2
1996-Q4,CZE,B1_GE,DOBSA,63.2
1996-Q4,CZE,B1_GE,GPSA,0.096089454
1996-Q4,CZE,B1_GE,GYSA,3.66373254
1996-Q4,CZE,B1_GE,HCPCARSA,14783.2
1996-Q4,CZE,B1_GE,HVPVOBARSA,22361.7
1996-Q4,CZE,B1_GE,LNBQR,768341.0
1996-Q4,CZE,B1_GE,LNBQRSA,745855.0
1996-Q4,CZE,B1_GE,VIXOBSA,64.5
1996-Q4,CZE,B1_GE,VOBARSA,2983420.0
1996-Q4,CZE,B1_GE,VPVOBARSA,230594.0
1997-Q1,CZE,B1_GE,CARSA,1916276.0
1997-Q1,CZE,B1_GE,CPCARSA,152738.8
1997-Q1,CZE,B1_GE,CQR,441336.0
1997-Q1,CZE,B1_GE,CQRSA,479069.0
1997-Q1,CZE,B1_GE,DNBSA,64.5
1997-Q1,CZE,B1_GE,DOBSA,64.5
1997-Q1,CZE,B1_GE,GPSA,-0.410133337
1997-Q1,CZE,B1_GE,GYSA,0.8376028
1997-Q1,CZE,B1_GE,HCPCARSA,14820.4
1997-Q1,CZE,B1_GE,HVPVOBARSA,22283.0
1997-Q1,CZE,B1_GE,LNBQR,693871.0
1997-Q1,CZE,B1_GE,LNBQRSA,742796.0
1997-Q1,CZE,B1_GE,VIXOBSA,64.2
1997-Q1,CZE,B1_GE,VOBARSA,2971184.0
1997-Q1,CZE,B1_GE,VPVOBARSA,229648.2
1997-Q2,CZE,B1_GE,CARSA,1938652.0
1997-Q2,CZE,B1_GE,CPCARSA,152449.1
1997-Q2,CZE,B1_GE,CQR,491272.0
1997-Q2,CZE,B1_GE,CQRSA,484663.0
1997-Q2,CZE,B1_GE,DNBSA,65.4
1997-Q2,CZE,B1_GE,DOBSA,65.4
1997-Q2,CZE,B1_GE,GPSA,-0.303582679
1997-Q2,CZE,B1_GE,GYSA,-0.175239708
1997-Q2,CZE,B1_GE,HCPCARSA,14795.1
1997-Q2,CZE,B1_GE,HVPVOBARSA,22219.6
1997-Q2,CZE,B1_GE,LNBQR,749566.0
1997-Q2,CZE,B1_GE,LNBQRSA,740541.0
1997-Q2,CZE,B1_GE,VIXOBSA,64.0
1997-Q2,CZE,B1_GE,VOBARSA,2962164.0
1997-Q2,CZE,B1_GE,VPVOBARSA,228951.0
1997-Q3,CZE,B1_GE,CARSA,1976704.0
1997-Q3,CZE,B1_GE,CPCARSA,152207.5
1997-Q3,CZE,B1_GE,CQR,508163.0
1997-Q3,CZE,B1_GE,CQRSA,494176.0
1997-Q3,CZE,B1_GE,DNBSA,67.2
1997-Q3,CZE,B1_GE,DOBSA,67.2
1997-Q3,CZE,B1_GE,GPSA,-0.634806175
1997-Q3,CZE,B1_GE,GYSA,-1.24795508
1997-Q3,CZE,B1_GE,HCPCARSA,14771.7
1997-Q3,CZE,B1_GE,HVPVOBARSA,22078.6
1997-Q3,CZE,B1_GE,LNBQR,756433.0
1997-Q3,CZE,B1_GE,LNBQRSA,735840.0
1997-Q3,CZE,B1_GE,VIXOBSA,63.6
1997-Q3,CZE,B1_GE,VOBARSA,2943360.0
1997-Q3,CZE,B1_GE,VPVOBARSA,227497.6
1997-Q4,CZE,B1_GE,CARSA,2043280.0
1997-Q4,CZE,B1_GE,CPCARSA,152701.5
1997-Q4,CZE,B1_GE,CQR,530253.0
1997-Q4,CZE,B1_GE,CQRSA,510820.0
1997-Q4,CZE,B1_GE,DNBSA,69.6
1997-Q4,CZE,B1_GE,DOBSA,69.6
1997-Q4,CZE,B1_GE,GPSA,-0.222874538
1997-Q4,CZE,B1_GE,GYSA,-1.562636169
1997-Q4,CZE,B1_GE,HCPCARSA,14822.5
1997-Q4,CZE,B1_GE,HVPVOBARSA,22033.6
1997-Q4,CZE,B1_GE,LNBQR,756380.0
1997-Q4,CZE,B1_GE,LNBQRSA,734200.0
1997-Q4,CZE,B1_GE,VIXOBSA,63.5
1997-Q4,CZE,B1_GE,VOBARSA,2936800.0
1997-Q4,CZE,B1_GE,VPVOBARSA,226990.6
1998-Q1,CZE,B1_GE,CARSA,2098792.0
1998-Q1,CZE,B1_GE,CPCARSA,152943.9
1998-Q1,CZE,B1_GE,CQR,485040.0
1998-Q1,CZE,B1_GE,CQRSA,524698.0
1998-Q1,CZE,B1_GE,DNBSA,71.5
1998-Q1,CZE,B1_GE,DOBSA,71.5
1998-Q1,CZE,B1_GE,GPSA,-0.005992917
1998-Q1,CZE,B1_GE,GYSA,-1.163172661
1998-Q1,CZE,B1_GE,HCPCARSA,14853.3
1998-Q1,CZE,B1_GE,HVPVOBARSA,22043.0
1998-Q1,CZE,B1_GE,LNBQR,688207.0
1998-Q1,CZE,B1_GE,LNBQRSA,734156.0
1998-Q1,CZE,B1_GE,VIXOBSA,63.5
1998-Q1,CZE,B1_GE,VOBARSA,2936624.0
1998-Q1,CZE,B1_GE,VPVOBARSA,226977.0
1998-Q2,CZE,B1_GE,CARSA,2160316.0
1998-Q2,CZE,B1_GE,CPCARSA,153967.2
1998-Q2,CZE,B1_GE,CQR,546405.0
1998-Q2,CZE,B1_GE,CQRSA,540079.0
1998-Q2,CZE,B1_GE,DNBSA,73.4
1998-Q2,CZE,B1_GE,DOBSA,73.4
1998-Q2,CZE,B1_GE,GPSA,0.290401495
1998-Q2,CZE,B1_GE,GYSA,-0.574309863
1998-Q2,CZE,B1_GE,HCPCARSA,14955.5
1998-Q2,CZE,B1_GE,HVPVOBARSA,22111.3
1998-Q2,CZE,B1_GE,LNBQR,742212.0
1998-Q2,CZE,B1_GE,LNBQRSA,736288.0
1998-Q2,CZE,B1_GE,VIXOBSA,63.7
1998-Q2,CZE,B1_GE,VOBARSA,2945152.0
1998-Q2,CZE,B1_GE,VPVOBARSA,227636.2
1998-Q3,CZE,B1_GE,CARSA,2186248.0
1998-Q3,CZE,B1_GE,CPCARSA,154508.1
1998-Q3,CZE,B1_GE,CQR,560358.0
1998-Q3,CZE,B1_GE,CQRSA,546562.0
1998-Q3,CZE,B1_GE,DNBSA,74.3
1998-Q3,CZE,B1_GE,DOBSA,74.3
1998-Q3,CZE,B1_GE,GPSA,-0.030558694
1998-Q3,CZE,B1_GE,GYSA,0.030305501
1998-Q3,CZE,B1_GE,HCPCARSA,15008.1
1998-Q3,CZE,B1_GE,HVPVOBARSA,22104.6
1998-Q3,CZE,B1_GE,LNBQR,754156.0
1998-Q3,CZE,B1_GE,LNBQRSA,736063.0
1998-Q3,CZE,B1_GE,VIXOBSA,63.7
1998-Q3,CZE,B1_GE,VOBARSA,2944252.0
1998-Q3,CZE,B1_GE,VPVOBARSA,227566.6
1998-Q4,CZE,B1_GE,CARSA,2171692.0
1998-Q4,CZE,B1_GE,CPCARSA,154597.0
1998-Q4,CZE,B1_GE,CQR,564821.0
1998-Q4,CZE,B1_GE,CQRSA,542923.0
1998-Q4,CZE,B1_GE,DNBSA,73.7
1998-Q4,CZE,B1_GE,DOBSA,73.7
1998-Q4,CZE,B1_GE,GPSA,0.079476893
1998-Q4,CZE,B1_GE,GYSA,0.333424135
1998-Q4,CZE,B1_GE,HCPCARSA,15019.6
1998-Q4,CZE,B1_GE,HVPVOBARSA,22126.4
1998-Q4,CZE,B1_GE,LNBQR,761134.0
1998-Q4,CZE,B1_GE,LNBQRSA,736648.0
1998-Q4,CZE,B1_GE,VIXOBSA,63.7
1998-Q4,CZE,B1_GE,VOBARSA,2946592.0
1998-Q4,CZE,B1_GE,VPVOBARSA,227747.5
1999-Q1,CZE,B1_GE,CARSA,2190556.0
1999-Q1,CZE,B1_GE,CPCARSA,155535.4
1999-Q1,CZE,B1_GE,CQR,506463.0
1999-Q1,CZE,B1_GE,CQRSA,547639.0
1999-Q1,CZE,B1_GE,DNBSA,74.3
1999-Q1,CZE,B1_GE,DOBSA,74.3
1999-Q1,CZE,B1_GE,GPSA,0.06013727
1999-Q1,CZE,B1_GE,GYSA,0.399778794
1999-Q1,CZE,B1_GE,HCPCARSA,15122.5
1999-Q1,CZE,B1_GE,HVPVOBARSA,22157.0
1999-Q1,CZE,B1_GE,LNBQR,691767.0
1999-Q1,CZE,B1_GE,LNBQRSA,737091.0
1999-Q1,CZE,B1_GE,VIXOBSA,63.7
1999-Q1,CZE,B1_GE,VOBARSA,2948364.0
1999-Q1,CZE,B1_GE,VPVOBARSA,227884.4
1999-Q2,CZE,B1_GE,CARSA,2229616.0
1999-Q2,CZE,B1_GE,CPCARSA,156922.4
1999-Q2,CZE,B1_GE,CQR,566822.0
1999-Q2,CZE,B1_GE,CQRSA,557404.0
1999-Q2,CZE,B1_GE,DNBSA,75.3
1999-Q2,CZE,B1_GE,DOBSA,75.3
1999-Q2,CZE,B1_GE,GPSA,0.401035964
1999-Q2,CZE,B1_GE,GYSA,0.510533922
1999-Q2,CZE,B1_GE,HCPCARSA,15261.9
1999-Q2,CZE,B1_GE,HVPVOBARSA,22252.3
1999-Q2,CZE,B1_GE,LNBQR,749212.0
1999-Q2,CZE,B1_GE,LNBQRSA,740047.0
1999-Q2,CZE,B1_GE,VIXOBSA,64.0
1999-Q2,CZE,B1_GE,VOBARSA,2960188.0
1999-Q2,CZE,B1_GE,VPVOBARSA,228798.3
1999-Q3,CZE,B1_GE,CARSA,2259740.0
1999-Q3,CZE,B1_GE,CPCARSA,158562.2
1999-Q3,CZE,B1_GE,CQR,577201.0
1999-Q3,CZE,B1_GE,CQRSA,564935.0
1999-Q3,CZE,B1_GE,DNBSA,75.6
1999-Q3,CZE,B1_GE,DOBSA,75.6
1999-Q3,CZE,B1_GE,GPSA,0.95331783
1999-Q3,CZE,B1_GE,GYSA,1.499735756
1999-Q3,CZE,B1_GE,HCPCARSA,15419.8
1999-Q3,CZE,B1_GE,HVPVOBARSA,22462.3
1999-Q3,CZE,B1_GE,LNBQR,762930.0
1999-Q3,CZE,B1_GE,LNBQRSA,747102.0
1999-Q3,CZE,B1_GE,VIXOBSA,64.6
1999-Q3,CZE,B1_GE,VOBARSA,2988408.0
1999-Q3,CZE,B1_GE,VPVOBARSA,230979.5
1999-Q4,CZE,B1_GE,CARSA,2308996.0
1999-Q4,CZE,B1_GE,CPCARSA,160641.7
1999-Q4,CZE,B1_GE,CQR,602497.0
1999-Q4,CZE,B1_GE,CQRSA,577249.0
1999-Q4,CZE,B1_GE,DNBSA,76.4
1999-Q4,CZE,B1_GE,DOBSA,76.4
1999-Q4,CZE,B1_GE,GPSA,1.078567585
1999-Q4,CZE,B1_GE,GYSA,2.513004854
1999-Q4,CZE,B1_GE,HCPCARSA,15625.1
1999-Q4,CZE,B1_GE,HVPVOBARSA,22709.0
1999-Q4,CZE,B1_GE,LNBQR,782573.0
1999-Q4,CZE,B1_GE,LNBQRSA,755160.0
1999-Q4,CZE,B1_GE,VIXOBSA,65.3
1999-Q4,CZE,B1_GE,VOBARSA,3020640.0
1999-Q4,CZE,B1_GE,VPVOBARSA,233470.8
2000-Q1,CZE,B1_GE,CARSA,2320220.0
2000-Q1,CZE,B1_GE,CPCARSA,162370.8
2000-Q1,CZE,B1_GE,CQR,540690.0
2000-Q1,CZE,B1_GE,CQRSA,580055.0
2000-Q1,CZE,B1_GE,DNBSA,75.8
2000-Q1,CZE,B1_GE,DOBSA,75.8
2000-Q1,CZE,B1_GE,GPSA,1.338391864
2000-Q1,CZE,B1_GE,GYSA,3.822594496
2000-Q1,CZE,B1_GE,HCPCARSA,15804.1
2000-Q1,CZE,B1_GE,HVPVOBARSA,23028.6
2000-Q1,CZE,B1_GE,LNBQR,723434.0
2000-Q1,CZE,B1_GE,LNBQRSA,765267.0
2000-Q1,CZE,B1_GE,VIXOBSA,66.2
2000-Q1,CZE,B1_GE,VOBARSA,3061068.0
2000-Q1,CZE,B1_GE,VPVOBARSA,236595.5
2000-Q2,CZE,B1_GE,CARSA,2368760.0
2000-Q2,CZE,B1_GE,CPCARSA,164862.2
2000-Q2,CZE,B1_GE,CQR,598350.0
2000-Q2,CZE,B1_GE,CQRSA,592190.0
2000-Q2,CZE,B1_GE,DNBSA,76.6
2000-Q2,CZE,B1_GE,DOBSA,76.6
2000-Q2,CZE,B1_GE,GPSA,1.022126918
2000-Q2,CZE,B1_GE,GYSA,4.464851557
2000-Q2,CZE,B1_GE,HCPCARSA,16049.7
2000-Q2,CZE,B1_GE,HVPVOBARSA,23268.5
2000-Q2,CZE,B1_GE,LNBQR,777141.0
2000-Q2,CZE,B1_GE,LNBQRSA,773089.0
2000-Q2,CZE,B1_GE,VIXOBSA,66.9
2000-Q2,CZE,B1_GE,VOBARSA,3092356.0
2000-Q2,CZE,B1_GE,VPVOBARSA,239013.8
2000-Q3,CZE,B1_GE,CARSA,2416680.0
2000-Q3,CZE,B1_GE,CPCARSA,168363.1
2000-Q3,CZE,B1_GE,CQR,612979.0
2000-Q3,CZE,B1_GE,CQRSA,604170.0
2000-Q3,CZE,B1_GE,DNBSA,77.1
2000-Q3,CZE,B1_GE,DOBSA,77.1
2000-Q3,CZE,B1_GE,GPSA,1.32326291
2000-Q3,CZE,B1_GE,GYSA,4.84766471
2000-Q3,CZE,B1_GE,HCPCARSA,16390.5
2000-Q3,CZE,B1_GE,HVPVOBARSA,23576.4
2000-Q3,CZE,B1_GE,LNBQR,794715.0
2000-Q3,CZE,B1_GE,LNBQRSA,783319.0
2000-Q3,CZE,B1_GE,VIXOBSA,67.7
2000-Q3,CZE,B1_GE,VOBARSA,3133276.0
2000-Q3,CZE,B1_GE,VPVOBARSA,242176.6
2000-Q4,CZE,B1_GE,CARSA,2445064.0
2000-Q4,CZE,B1_GE,CPCARSA,171067.0
2000-Q4,CZE,B1_GE,CQR,634270.0
2000-Q4,CZE,B1_GE,CQRSA,611266.0
2000-Q4,CZE,B1_GE,DNBSA,77.7
2000-Q4,CZE,B1_GE,DOBSA,77.7
2000-Q4,CZE,B1_GE,GPSA,0.436093086
2000-Q4,CZE,B1_GE,GYSA,4.181233116
2000-Q4,CZE,B1_GE,HCPCARSA,16658.6
2000-Q4,CZE,B1_GE,HVPVOBARSA,23686.1
2000-Q4,CZE,B1_GE,LNBQR,810682.0
2000-Q4,CZE,B1_GE,LNBQRSA,786735.0
2000-Q4,CZE,B1_GE,VIXOBSA,68.0
2000-Q4,CZE,B1_GE,VOBARSA,3146940.0
2000-Q4,CZE,B1_GE,VPVOBARSA,243232.7
2001-Q1,CZE,B1_GE,CARSA,2508644.0
2001-Q1,CZE,B1_GE,CPCARSA,176131.3
2001-Q1,CZE,B1_GE,CQR,584472.0
2001-Q1,CZE,B1_GE,CQRSA,627161.0
2001-Q1,CZE,B1_GE,DNBSA,78.8
2001-Q1,CZE,B1_GE,DOBSA,78.8
2001-Q1,CZE,B1_GE,GPSA,1.15706051
2001-Q1,CZE,B1_GE,GYSA,3.994814882
2001-Q1,CZE,B1_GE,HCPCARSA,17215.5
2001-Q1,CZE,B1_GE,HVPVOBARSA,24049.2
2001-Q1,CZE,B1_GE,LNBQR,750924.0
2001-Q1,CZE,B1_GE,LNBQRSA,795838.0
2001-Q1,CZE,B1_GE,VIXOBSA,68.8
2001-Q1,CZE,B1_GE,VOBARSA,3183352.0
2001-Q1,CZE,B1_GE,VPVOBARSA,246047.1
2001-Q2,CZE,B1_GE,CARSA,2548776.0
2001-Q2,CZE,B1_GE,CPCARSA,179097.1
2001-Q2,CZE,B1_GE,CQR,643332.0
2001-Q2,CZE,B1_GE,CQRSA,637194.0
2001-Q2,CZE,B1_GE,DNBSA,79.8
2001-Q2,CZE,B1_GE,DOBSA,79.8
2001-Q2,CZE,B1_GE,GPSA,0.278322975
2001-Q2,CZE,B1_GE,GYSA,3.229123684
2001-Q2,CZE,B1_GE,HCPCARSA,17512.2
2001-Q2,CZE,B1_GE,HVPVOBARSA,24125.5
2001-Q2,CZE,B1_GE,LNBQR,801853.0
2001-Q2,CZE,B1_GE,LNBQRSA,798053.0
2001-Q2,CZE,B1_GE,VIXOBSA,69.0
2001-Q2,CZE,B1_GE,VOBARSA,3192212.0
2001-Q2,CZE,B1_GE,VPVOBARSA,246731.9
2001-Q3,CZE,B1_GE,CARSA,2610504.0
2001-Q3,CZE,B1_GE,CPCARSA,181750.7
2001-Q3,CZE,B1_GE,CQR,660930.0
2001-Q3,CZE,B1_GE,CQRSA,652626.0
2001-Q3,CZE,B1_GE,DNBSA,81.4
2001-Q3,CZE,B1_GE,DOBSA,81.4
2001-Q3,CZE,B1_GE,GPSA,0.459743902
2001-Q3,CZE,B1_GE,GYSA,2.349362137
2001-Q3,CZE,B1_GE,HCPCARSA,17782.1
